No,Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
1,INN00041,2,0,0,4,Meal Plan 1,0,Room_Type 1,64,2018,11,1,Online,0,0,0,93.6,2,Not_Canceled
2,INN00049,2,0,0,4,Not Selected,0,Room_Type 1,57,2018,11,1,Online,0,0,0,79.2,1,Not_Canceled
3,INN00081,2,2,0,2,Meal Plan 1,0,Room_Type 6,83,2018,4,1,Online,0,0,0,159.3,0,Canceled
4,INN00121,2,0,0,3,Meal Plan 1,0,Room_Type 1,317,2018,9,1,Online,0,0,0,106.2,1,Canceled
5,INN00146,1,0,0,2,Meal Plan 1,0,Room_Type 1,13,2018,6,1,Complementary,1,3,5,0,1,Not_Canceled
6,INN00156,1,0,0,3,Meal Plan 1,0,Room_Type 1,4,2018,11,1,Corporate,1,1,5,65,1,Not_Canceled
7,INN00164,2,0,1,1,Not Selected,0,Room_Type 1,197,2018,8,1,Online,0,0,0,85.5,1,Not_Canceled
8,INN00222,2,0,0,1,Meal Plan 1,0,Room_Type 1,118,2018,3,1,Offline,0,0,0,86,0,Not_Canceled
9,INN00226,2,0,0,2,Meal Plan 1,0,Room_Type 1,76,2018,4,1,Online,0,0,0,87.3,1,Not_Canceled
10,INN00294,2,0,2,1,Meal Plan 1,0,Room_Type 1,100,2018,5,1,Online,0,0,0,105.3,1,Not_Canceled
11,INN00296,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
12,INN00310,2,0,1,3,Meal Plan 1,0,Room_Type 1,37,2018,8,1,Online,0,0,0,135.9,0,Canceled
13,INN00352,1,0,0,1,Meal Plan 1,1,Room_Type 4,4,2018,7,1,Corporate,1,0,3,103,1,Not_Canceled
14,INN00402,2,0,2,2,Meal Plan 1,0,Room_Type 1,213,2018,10,1,Online,0,0,0,102.85,2,Canceled
15,INN00446,1,0,0,1,Meal Plan 1,1,Room_Type 1,1,2018,4,1,Corporate,1,0,3,67,1,Not_Canceled
16,INN00462,2,0,2,2,Meal Plan 1,0,Room_Type 4,147,2018,7,1,Online,0,0,0,103.7,2,Not_Canceled
17,INN00484,3,0,2,2,Meal Plan 1,0,Room_Type 6,2,2018,4,1,Online,0,0,0,143.22,2,Not_Canceled
18,INN00584,1,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Offline,0,0,0,80,0,Not_Canceled
19,INN00605,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2017,10,1,Corporate,0,0,0,109,1,Not_Canceled
20,INN00614,3,0,1,2,Meal Plan 1,0,Room_Type 1,191,2018,8,1,Offline,0,0,0,96.9,0,Not_Canceled
21,INN00628,2,0,2,2,Meal Plan 1,0,Room_Type 1,167,2018,10,1,Online,0,0,0,108.9,1,Canceled
22,INN00637,2,0,0,2,Meal Plan 1,0,Room_Type 1,4,2018,4,1,Online,0,0,0,111,0,Canceled
23,INN00678,2,0,2,0,Not Selected,1,Room_Type 1,77,2018,5,1,Online,0,0,0,125.1,0,Not_Canceled
24,INN00696,2,0,0,2,Meal Plan 2,0,Room_Type 1,257,2017,7,1,Online,0,0,0,101.5,0,Canceled
25,INN00731,2,0,0,4,Meal Plan 2,0,Room_Type 1,152,2018,11,1,Offline,0,0,0,98,0,Not_Canceled
26,INN00756,2,0,0,2,Meal Plan 1,0,Room_Type 1,18,2017,12,1,Online,0,0,0,69,2,Not_Canceled
27,INN00760,1,0,0,3,Meal Plan 1,0,Room_Type 1,166,2018,11,1,Online,0,0,0,110,0,Canceled
28,INN00761,1,2,0,3,Meal Plan 1,0,Room_Type 6,30,2018,9,1,Online,0,0,0,181.8,1,Not_Canceled
29,INN00762,2,0,2,2,Not Selected,0,Room_Type 1,68,2018,4,1,Online,0,0,0,75.65,1,Canceled
